numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200311834E;Techniques de l'Informatique et de la Microélectronique pour l'Architecture des systèmes intégrés;TIMA;2003;Unité mixte;22;2;http://tima.imag.fr/;46 avenue Félix Viallet;38031;GRENOBLE CEDEX 1;BASROUR,MIR,DI NATALE,FESQUET,PETROT,PODEVIN;Skandar,Salvador,Giorgio,Laurent,Frédéric,Florence;DIR-ADJ,DIR,Directeur,Directeur Adjoint,DIR-ADJ,Directrice adjointe;UMR 5159,UMR 5159,UMR 5159;Institut polytechnique de Grenoble,Centre national de la recherche scientifique,Université Grenoble Alpes;GRENOBLE INP,CNRS,GRENOBLE ALPES;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0381912X,0753639Y,0383546Y;19381912500017,18008901303720,13002608100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;202524725W;;;;;;8,9;Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;PE7;Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311834E&PUBLIC=OK
200311854B;LABORATOIRE DE CHIMIE;LCH;2003;Unité mixte;22;2;http://www.ens-lyon.fr/CHIMIE/;46 Allée d'Italie;69364;LYON CEDEX 07;BUCHER,MICHEL;Christophe,Carine;Directeur adjoint,Directrice;UMR 5182,UMR 5182,UMR 5182;Université Claude Bernard Lyon 1,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;LYON 1,CNRS,ENS LYON;UNIV,EPST,AUT_ETAB;Université,Organismes de type EPST,Autres établissements ESR;0691774D,0753639Y,0694123G;19691774400019,18008901303720,13000812100019;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200710696A,201119599K;199817337H,199811976F;"éclatement - fusion;éclatement - fusion";"EF;EF";"2003;2003";2,4;Physique,Chimie;PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311854B&PUBLIC=OK
200411870P;De la Préhistoire à l'Actuel : Culture, Environnement et Anthropologie;PACEA;2004;Unité mixte;22;2;http://www.pacea.u-bordeaux.fr/;Allée Geoffroy Saint Hilaire;33615;PESSAC CEDEX;BANKS,BAYLE;William,Priscilla;Directeur,Directrice-adjointe;UMR 5199,UMR 5199,UMR 5199,UMR 5199;Centre national de la recherche scientifique,Ministère de la culture,Université de Bordeaux,Ecole Pratique des Hautes Etudes Paris,Institut National de Recherches Archeologiques Preventives,Université Paris sciences et lettres;CNRS,MIN.CULT,BORDEAUX,EPHE PARIS,INRAP,PSL;EPST,AUT_OP_FR,UNIV,AUT_ETAB,EPA,UNIV;Organismes de type EPST,Autre opérateur de droit français,Université,Autres établissements ESR,Etablissement public à caractère administratif,Université;0753639Y,0333298F,0753486G,0755502Y,0756036D;18008901303720,11004601800013,13001835100010,19753486000105,18009226400225,13002614900018;TUTE,TUTE,TUTE,PART,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant;;;199512087P,199512086N;"fusion;fusion";"F;F";"2004;2004";6;Sciences humaines et humanités;SH6;The Study of the Human Past : Archaeology and history;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200411870P&PUBLIC=OK
200511874P;ENVIRONNEMENTS, DYNAMIQUES ET TERRITOIRES DE LA MONTAGNE;EDYTEM;2005;Unité mixte;22;2;https://edytem.cnrs.fr/;5 bd de la Mer Caspienne;73376;LE BOURGET DU LAC CEDEX;PERRIN-MALTERRE,DEVELLE;Clémence,Anne Lise;Dir Adjointe,Dir Adjointe;UMR 5204,UMR 5204;Université Savoie Chambéry,Centre national de la recherche scientifique,Ministère de la culture;CHAMBERY,CNRS,MIN.CULT;UNIV,EPST,AUT_OP_FR;Université,Organismes de type EPST,Autre opérateur de droit français;0730858L,0753639Y;19730858800015,18008901303720,11004601800013;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;200310841A;;;;;;;SH3;The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200511874P&PUBLIC=OK
200511875R;UMR 5205 - LABORATOIRE D'INFORMATIQUE EN IMAGE ET SYSTEMES D'INFORMATION;LIRIS;2005;Unité mixte;22;2;http://liris.cnrs.fr;25 avenue Pierre de Coubertin;69622;VILLEURBANNE CEDEX;;;;UMR 5205,UMR 5205,UMR 5205,UMR 5205,UMR 5205;Ecole Centrale de Lyon,Institut National des Sciences Appliquées Lyon,Université Claude Bernard Lyon 1,Université Lumière Lyon 2,Centre national de la recherche scientifique;EC. CENTRALE LYON,INSA LYON,LYON 1,LYON 2,CNRS;AUT_ETAB,AUT_ETAB,UNIV,UNIV,EPST;Autres établissements ESR,Autres établissements ESR,Université,Université,Organismes de type EPST;0690187D,0690192J,0691774D,0691775E,0753639Y;19690187000010,19690192000013,19691774400019,19691775100014,18008901303720;TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201120997E;201119599K;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200511875R&PUBLIC=OK
200711888W;Institut de Mathématiques de Toulouse;IMT;2007;Unité mixte;22;2;http://www.math.univ-toulouse.fr;118 route de Narbonne;31062;TOULOUSE CEDEX 9;BOUSQUET,BARTHE,BUFF;PIERRE,Franck,XAVIER;DIR-ADJ,DIRECTEUR,DIRECTEUR;UMR 5219,UMR 5219,UMR 5219,UMR 5219,UMR 5219;Institut National des Sciences Appliquées Toulouse,Université Toulouse - Jean Jaurès,Institut national universitaire Jean-François Champollion,Centre national de la recherche scientifique,Ecole d'économie et de sciences sociales quantitatives de Toulouse,Université Toulouse Capitole EPE,Université de Toulouse EPE;INSA TOULOUSE,TOULOUSE 2,INU CHAMPOLLION,CNRS,TSE,UT Capitole,UT;AUT_ETAB,UNIV,AUT_ETAB,EPST,AUT_ETAB,UNIV,UNIV;Autres établissements ESR,Université,Autres établissements ESR,Organismes de type EPST,Autres établissements ESR,Université,Université;0310152X,0311383K,0811293R,0753639Y,0311514C,0313124C,0313218E;19310152400018,19311383400017,19811201300018,18008901303720,13003062000012,13003061200019,93827139200012;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;201119570D;199512067T,199512019R,199512016M;"fusion;fusion;fusion";"F;F;F";"2007;2007;2007";1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711888W&PUBLIC=OK
200511663K;Laboratoire de biogenèse membranaire;LBM;2005;Unité mixte;22;2;http://www.biomemb.cnrs.fr;71 avenue Edouard Bourlaux;33140;VILLENAVE D ORNON;MONGRAND,JOUBES;Sébastien,Jérôme;Directeur,Directeur adjoint;UMR 5200,UMR 5200;Centre national de la recherche scientifique,Université de Bordeaux;CNRS,BORDEAUX;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0333298F;18008901303720,13001835100010;TUTE,TUTE;établissement tutelle,établissement tutelle;;201119639D;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200511663K&PUBLIC=OK
200011673T;Institut de Chimie Physique;ICP;2000;Unité mixte;22;2;http://www.lcp.u-psud.fr;Bâtiment 349 - Faculté des Sciences d’Orsay - 15, avenue Jean Perrin;91405;ORSAY CEDEX;VAN DER REST;Guillaume;DIR;UMR 8000,UMR 8000;Centre national de la recherche scientifique,Université Paris-Saclay;CNRS,U PARIS-SACLAY;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0912408Y;18008901303720,13002602400054;TUTE,TUTE;établissement tutelle,établissement tutelle;;201220469B,202224175L;;;;;4;Chimie;"PE4;PE3";Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics,Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200011673T&PUBLIC=OK
199911704F;CENTRE D' ÉNERGÉTIQUE ET DE THERMIQUE DE LYON;CETHIL;1999;Unité mixte;22;2;http://cethil.insa-lyon.fr;Domaine Scientifique de La Doua;69621;VILLEURBANNE CEDEX;KUZNIK,SARTRE;Frédéric,Valérie;DIR;UMR 5008,UMR 5008,UMR 5008;Institut National des Sciences Appliquées Lyon,Université Claude Bernard Lyon 1,Centre national de la recherche scientifique;INSA LYON,LYON 1,CNRS;AUT_ETAB,UNIV,EPST;Autres établissements ESR,Université,Organismes de type EPST;0690192J,0691774D,0753639Y;19690192000013,19691774400019,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201119599K;;;;;8;Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911704F&PUBLIC=OK
199511717M;LABORATOIRE D'ETUDE DE L'APPRENTISSAGE ET DU DEVELOPPEMENT - UMR 5022;LEAD;1989;Unité mixte;22;2;http://leadserv.u-bourgogne.fr/;Pôle AAFE - 11 Esplanade Erasme - BP 26513;21065;DIJON CEDEX;POULIN-CHARRONNAT;Bénédicte;Directrice;UMR 5022,UMR 5022;Centre national de la recherche scientifique,Université Bourgogne Europe (EPE);CNRS,UBE;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0212296G;18008901303720,93823061200013;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6;Sciences humaines et humanités;"PE6;PE7;SH4";Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems,Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering,The Human Mind and Its Complexity : Cognitive science, psychology, linguistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511717M&PUBLIC=OK
199612385J;LABORATOIRE D'ACOUSTIQUE DE L'UNIVERSITE DU MANS;LAUM;1996;Unité mixte;22;2;http://laum.univ-lemans.fr;Université du Mans avenue Olivier Messiaen;72085;LE MANS CEDEX 9;FELIX,DAZEL,PICART;Simon,Olivier,Pascal;DIR-ADJ,Directeur,DIR-ADJ;UMR 6613,UMR 6613;Le Mans Université,Centre national de la recherche scientifique,Ecole Supérieure d'Electronique de l'Ouest (campus d'Angers);LE MANS,CNRS,ESEO;UNIV,EPST,AUT_ETAB;Université,Organismes de type EPST,Autres établissements ESR;0720916E,0753639Y,0490075R;19720916600010,18008901303720,78611671500065;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;PE3;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612385J&PUBLIC=OK
199612396W;INSTITUT DE RECHERCHE MATHEMATIQUE DE RENNES;IRMAR;1996;Unité mixte;22;2;http://irmar.univ-rennes.fr/;263 avenue du Général Leclerc;35042;RENNES CEDEX;GRADINARU,BOUCHER;Mihai,Delphine;directeur,directrice-adjointe;UMR 6625,UMR 6625,UMR 6625,UMR 6625,UMR 6625,UMR 6625,UMR 6625;Institut National des Sciences Appliquées Rennes,Université Rennes 2,Centre national de la recherche scientifique,Ecole normale supérieure de Rennes,Université de Rennes (EPE),Institut national de la recherche en informatique et automatique,Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement;INSA RENNES,RENNES 2,CNRS,ENS RENNES,RENNES,INRIA,Institut Agro;AUT_ETAB,UNIV,EPST,AUT_ETAB,UNIV,EPST,AUT_ETAB;Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR;0350097R,0350937D,0753639Y,0352440M,0353074B,0780491K,0756246G;19350097200016,19350937900015,18008901303720,13001848400019,13003051300019,18008904700013,13002622200013;TUTE,TUTE,TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;202224252V,201822635E,201822633C,200518358M,200418360U;;;;;;1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612396W&PUBLIC=OK
200812285Y;CHRONO-ENVIRONNEMENT - UMR6249;CHRONO;2008;Unité mixte;22;2;http://chrono-environnement.univ-fcomte.fr/;16 Route de Gray;25030;BESANCON CEDEX;GAUTHIER,LLANES,SCHEIFLER,JOUFFROY-BAPICOT;Emilie,Catherine,Renaud,Isabelle;Directrice adjointe;UMR 6249,UMR 6249,UMR 6249;Centre national de la recherche scientifique,Université Marie et Louis Pasteur,Ministère de la culture,Institut National de Recherches Archeologiques Preventives;CNRS,UMLP,MIN.CULT,INRAP;EPST,UNIV,AUT_OP_FR,EPA;Organismes de type EPST,Université,Autre opérateur de droit français,Etablissement public à caractère administratif;0753639Y,0252044L,0755502Y;18008901303720,93810656400017,11004601800013,18009226400225;TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement participant,établissement participant;201120530X;201120530X,201421798M;200014485Z,200014483X,199612346S,199814156A,199613835K,200416952N;"éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion;intégration";"EF;EF;EF;EF;EF;I";"2008;2008;2008;2008;2008;2012";;;"LS9;LS7;SH6;LS8;LS2;PE10;LS1;LS4;LS6";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,The Study of the Human Past : Archaeology and history,Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases),Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200812285Y&PUBLIC=OK
200812288B;CENTRE DE RECHERCHE SUR LES IONS, LES MATÉRIAUX ET LA PHOTONIQUE;CIMAP;2008;Unité mixte;22;2;http://cimap.ensicaen.fr;6 Bd du Maréchal Juin;14050;CAEN CEDEX 4;MONNET,RANGAMA,GILLES;Isabelle,Jimmy,Hervé;Directrice,Directeur Adjoint,Directeur Adjoint;UMR 6252,UMR 6252,UMR 6252,UMR 6252;Université de Caen Normandie,Ecole Nationale Supérieure Ingénieurs Caen,Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives;CAEN,ENSI CAEN,CNRS,CEA;UNIV,AUT_ETAB,EPST,EPIC;Université,Autres établissements ESR,Organismes de type EPST,Organismes de type EPIC;0141408E,0141720U,0753639Y,0912281K;19141408500016,19141720300012,18008901303720,77568501900587;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;199118598J;200412233J,199812408A,200815494L;"fusion;fusion;intégration";"F;F;I";"2008;2008;2012";2,4;Physique,Chimie;"PE3;PE2;PE5";Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics,Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200812288B&PUBLIC=OK
